%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
3.55999839	-0.96133300	-1.95318400
3.56799839	-0.99185150	-1.92266600
3.57599839	-0.97659220	-1.84637000
3.58399839	-0.94607370	-1.73955500
3.59199839	-0.88503670	-1.61748100
3.59999839	-0.82399970	-1.49540700
3.60799839	-0.73244420	-1.35807400
3.61599839	-0.64088860	-1.22074000
3.62399839	-0.57985160	-1.09866600
3.63199839	-0.50355540	-1.00711100
3.63999839	-0.47303690	-0.96133300
3.64799839	-0.44251840	-0.94607370
3.65599839	-0.42725910	-0.96133300
3.66399839	-0.45777760	-1.02237000
3.67199839	-0.50355540	-1.11392600
3.67999839	-0.57985160	-1.23600000
3.68799838	-0.67140720	-1.34281400
3.69599838	-0.76296270	-1.46488800
3.70399838	-0.86977740	-1.57170300
3.71199838	-0.96133300	-1.66325900
3.71999838	-1.03762900	-1.75481400
3.72799838	-1.09866600	-1.80059200
3.73599838	-1.14444400	-1.83111000
3.74399838	-1.15970300	-1.84637000
3.75199838	-1.15970300	-1.86162900
3.75999838	-1.11392600	-1.87688800
3.76799838	-1.06814800	-1.86162900
3.77599838	-0.97659220	-1.84637000
3.78399838	-0.86977740	-1.83111000
3.79199838	-0.76296270	-1.81585100
3.79999838	-0.64088860	-1.80059200
3.80799838	-0.53407390	-1.75481400
3.81599838	-0.44251840	-1.70903600
3.82399838	-0.35096280	-1.64799900
3.83199838	-0.28992580	-1.61748100
3.83999838	-0.25940730	-1.58696200
3.84799838	-0.22888880	-1.57170300
3.85599838	-0.24414810	-1.57170300
3.86399838	-0.28992580	-1.61748100
3.87199838	-0.35096280	-1.70903600
3.87999838	-0.42725910	-1.80059200
3.88799838	-0.53407390	-1.90740700
3.89599838	-0.62562940	-2.01422100
3.90399838	-0.70192570	-2.13629600
3.91199838	-0.79348120	-2.22785100
3.91999838	-0.85451820	-2.28888800
3.92799838	-0.90029600	-2.27362900
3.93599838	-0.91555520	-2.22785100
3.94399838	-0.90029600	-2.15155500
3.95199838	-0.88503670	-2.04474000
3.95999838	-0.83925900	-1.90740700
3.96799838	-0.76296270	-1.73955500
3.97599838	-0.67140720	-1.58696200
3.98399838	-0.56459240	-1.48014800
3.99199838	-0.45777760	-1.37333300
3.99999838	-0.35096280	-1.29703700
4.00799838	-0.25940730	-1.25125900
4.01599838	-0.16785180	-1.22074000
4.02399838	-0.09155552	-1.20548100
4.03199838	-0.04577776	-1.22074000
4.03999837	0.00000000	-1.20548100
4.04799837	0.01525925	-1.19022200
4.05599837	0.00000000	-1.19022200
4.06399837	-0.03051851	-1.17496300
4.07199837	-0.07629627	-1.14444400
4.07999837	-0.13733330	-1.12918500
4.08799837	-0.21362960	-1.14444400
4.09599837	-0.27466660	-1.17496300
4.10399837	-0.33570360	-1.20548100
4.11199837	-0.39674060	-1.25125900
4.11999837	-0.45777760	-1.29703700
4.12799837	-0.50355540	-1.37333300
4.13599837	-0.51881460	-1.41911100
4.14399837	-0.54933320	-1.44962900
4.15199837	-0.54933320	-1.43437000
4.15999837	-0.54933320	-1.40385100
4.16799837	-0.54933320	-1.35807400
4.17599837	-0.53407390	-1.28177700
