%Time	Channel A
%(us)	(mV)
%
4.79200073	17.52983000
4.80000073	18.02423000
4.80800073	17.41386000
4.81600073	15.80248000
4.82400073	13.27555000
4.83200072	10.04059000
4.84000072	6.34174600
4.84800072	2.39265100
4.85600072	-1.55644400
4.86400072	-5.23087300
4.87200072	-8.44752400
4.88000072	-11.04160000
4.88800072	-12.79336000
4.89600072	-13.63567000
4.90400072	-13.55022000
4.91200072	-12.48817000
4.92000072	-10.56551000
4.92800072	-7.86156800
4.93600072	-4.55946500
4.94400072	-0.88503680
4.95200072	2.95419200
4.96000072	6.62251700
4.96800072	9.91851500
4.97600072	12.63466000
4.98400072	14.53902000
4.99200072	15.50951000
5.00000072	15.52171000
5.00800072	14.57564000
5.01600072	12.76284000
5.02400072	10.27253000
5.03200072	7.19626400
5.04000072	3.82702100
5.04800072	0.43946650
5.05600072	-2.79549500
5.06400072	-5.65813200
5.07200072	-8.06909400
5.08000072	-9.79033800
5.08800072	-10.79134000
5.09600072	-11.06601000
5.10400072	-10.52278000
5.11200072	-9.32035300
5.12000072	-7.50145000
5.12800072	-5.09048700
5.13600072	-2.27057700
5.14400072	0.75075530
5.15200072	3.82091700
5.16000072	6.76290100
5.16800072	9.38139000
5.17600072	11.53600000
5.18400071	12.98257000
5.19200071	13.64177000
5.20000071	13.51970000
5.20800071	12.54311000
5.21600071	10.84017000
5.22400071	8.47193800
5.23200071	5.62150900
5.24000071	2.62459200
5.24800071	-0.43946650
5.25600071	-3.30210300
5.26400071	-5.73137600
5.27200071	-7.67235300
5.28000071	-8.91140500
5.28800071	-9.40580500
5.29600071	-9.18607000
5.30400071	-8.30713700
5.31200071	-6.84224900
5.32000071	-4.88906500
5.32800071	-2.60017700
5.33600071	-0.09765923
5.34400071	2.38044400
5.35200071	4.82802800
5.36000071	7.01315400
5.36800071	8.81374500
5.37600071	10.21760000
5.38400071	11.01718000
5.39200071	11.27354000
5.40000071	10.91952000
5.40800071	9.96124200
5.41600071	8.44142000
5.42400071	6.45771600
5.43200071	4.14441300
5.44000071	1.58085900
5.44800071	-0.98879970
5.45600071	-3.42417700
5.46400071	-5.57268000
5.47200071	-7.22678300
5.48000071	-8.27051500
5.48800071	-8.65504900
5.49600071	-8.33155300
5.50400071	-7.30002700
5.51200071	-5.65202800
5.52000071	-3.59508000
5.52800071	-1.20853300
5.53600070	1.30619200
5.54400070	3.73546600
5.55200070	5.95721300
5.56000070	7.79442700
5.56800070	9.16165600
5.57600070	9.96124200
5.58400070	10.21149000
5.59200070	9.91851500
5.60000070	9.06399600
5.60800070	7.81273800
5.61600070	6.21356800
5.62400070	4.37635400
5.63200070	2.43537700
5.64000070	0.43336280
5.64800070	-1.48320000
5.65600070	-3.24106600
5.66400070	-4.69374700
5.67200070	-5.79241300
5.68000070	-6.45771600
5.68800070	-6.57979000
5.69600070	-6.21356800
5.70400070	-5.30411700
5.71200070	-3.91247300
5.72000070	-2.13629600
5.72800070	-0.07934812
5.73600070	2.05084400
5.74400070	4.16272500
5.75200070	6.06708000
5.76000070	7.58690200
5.76800070	8.65504900
5.77600070	9.19217500
5.78400070	9.17996800
5.79200070	8.63673800
5.80000070	7.61742000
5.80800070	6.25629500
5.81600070	4.62050200
5.82400070	2.86263600
5.83200070	1.11087400
5.84000070	-0.57985160
5.84800070	-2.08136200
5.85600070	-3.31431000
5.86400070	-4.20545100
5.87200070	-4.76699100
5.88000070	-4.95620600
5.88800070	-4.75478400
5.89600069	-4.24817700
5.90400069	-3.36924300
5.91200069	-2.20343600
5.92000069	-0.84231080
5.92800069	0.68971830
5.93600069	2.28278400
5.94400069	3.85753900
5.95200069	5.27970200
5.96000069	6.43330100
5.96800069	7.30002700
5.97600069	7.75170100
5.98400069	7.75170100
5.99200069	7.35496100
6.00000069	6.50654600
6.00800069	5.30411700
6.01600069	3.89416200
6.02400069	2.27668100
6.03200069	0.65309610
6.04000069	-0.86062190
6.04800069	-2.19122900
6.05600069	-3.23496200
6.06400069	-3.93078400
6.07200069	-4.25428100
6.08000069	-4.19324400
6.08800069	-3.80260600
6.09600069	-3.08237000
6.10400069	-2.08746600
6.11200069	-0.93997010
6.12000069	0.35401470
6.12800069	1.69072500
6.13600069	2.95419200
6.14400069	4.16882800
6.15200069	5.23087300
6.16000069	6.01214600
6.16800069	6.54316900
6.17600069	6.74459100
6.18400069	6.61030900
6.19200069	6.18305000
6.20000069	5.38346500
6.20800069	4.33973200
6.21600069	3.11288800
6.22400069	1.75786600
6.23200069	0.42725910
6.24000069	-0.83010340
6.24800068	-1.95928800
6.25600068	-2.75276900
6.26400068	-3.26548100
6.27200068	-3.43638400
6.28000068	-3.23496200
6.28800068	-2.75276900
6.29600068	-1.96539200
6.30400068	-0.95217750
6.31200068	0.16479990
6.32000068	1.34281400
6.32800068	2.47199900
6.33600068	3.52794000
6.34400068	4.46180600
6.35200068	5.16983600
6.36000068	5.63371700
6.36800068	5.88396800
6.37600068	5.86565700
6.38400068	5.59099100
6.39200068	5.10269500
6.40000068	4.35193900
6.40800068	3.43638400
6.41600068	2.40485800
6.42400068	1.27567400
6.43200068	0.17700730
6.44000068	-0.88503680
6.44800068	-1.77007400
6.45600068	-2.44148100
6.46400068	-2.86263600
6.47200068	-2.92977700
6.48000068	-2.72225100
6.48800068	-2.22174700
6.49600068	-1.42216300
6.50400068	-0.46998500
6.51200068	0.60426650
6.52000068	1.71514000
6.52800068	2.77718400
6.53600068	3.71715500
6.54400068	4.46180600
6.55200068	4.98672400
6.56000068	5.25528700
6.56800068	5.28580600
6.57600068	5.07828000
6.58400068	4.65712500
6.59200068	4.08337600
6.60000067	3.33872500
6.60800067	2.62459200
6.61600067	1.79448800
6.62400067	0.95828120
6.63200067	0.21973330
6.64000067	-0.46998500
6.64800067	-1.00100700
6.65600067	-1.42216300
6.66400067	-1.69072500
6.67200067	-1.75176200
6.68000067	-1.61137700
6.68800067	-1.25736300
6.69600067	-0.73244420
6.70400067	-0.06714072
6.71200067	0.72023680
6.72000067	1.63579200
6.72800067	2.52693200
6.73600067	3.33872500
6.74400067	4.02233900
6.75200067	4.51063600
6.76000067	4.81582100
6.76800067	4.94399800
6.77600067	4.68764300
6.78400067	4.22986500
6.79200067	3.63170300
6.80000067	2.89315500
6.80800067	2.10577700
6.81600067	1.27567400
6.82400067	0.47608880
6.83200067	-0.18311110
6.84000067	-0.70192580
6.84800067	-1.04983700
6.85600067	-1.21463700
6.86400067	-1.27567400
6.87200067	-1.13528900
6.88000067	-0.80568860
6.88800067	-0.43946650
6.89600067	0.05493332
6.90400067	0.59816280
6.91200067	1.18411800
6.92000067	1.84942200
6.92800067	2.45979200
6.93600067	3.00302100
6.94400067	3.47911000
6.95200066	3.85753900
6.96000066	4.12610200
6.96800066	4.18714000
6.97600066	4.04675400
6.98400066	3.71715500
6.99200066	3.21665100
7.00000066	2.58797000
7.00800066	1.89825100
7.01600066	1.14139200
7.02400066	0.37842950
7.03200066	-0.23804440
7.04000066	-0.72023680
7.04800066	-1.03152600
7.05600066	-1.12918500
7.06400066	-1.07425200
7.07200066	-0.81789610
7.08000066	-0.43336280
7.08800066	0.06103702
7.09600066	0.64699240
7.10400066	1.20853300
7.11200066	1.77007400
7.12000066	2.30719900
7.12800066	2.71614700
7.13600066	3.08847300
7.14400066	3.35703600
7.15200066	3.46690200
7.16000066	3.50352500
7.16800066	3.39365800
7.17600066	3.16782100
7.18400066	2.83211800
7.19200066	2.38654800
7.20000066	1.89214800
7.20800066	1.35502200
7.21600066	0.77517010
7.22400066	0.26245920
7.23200066	-0.18921480
7.24000066	-0.56154050
7.24800066	-0.73854790
7.25600066	-0.78127380
7.26400066	-0.68971830
7.27200066	-0.40894800
7.28000066	-0.04272591
7.28800066	0.45167390
7.29600066	1.01931800
7.30400065	1.55644400
7.31200065	2.09967300
7.32000065	2.53303600
7.32800065	2.89925800
7.33600065	3.16782100
7.34400065	3.27158400
7.35200065	3.27768800
7.36000065	3.18002900
7.36800065	2.96639900
7.37600065	2.71004300
7.38400065	2.41706600
7.39200065	2.00811800
7.40000065	1.57475500
7.40800065	1.13528900
7.41600065	0.68361460
7.42400065	0.31739250
7.43200065	-0.01220740
7.44000065	-0.25025180
7.44800065	-0.31739250
7.45600065	-0.32959990
7.46400065	-0.15259250
7.47200065	0.12207400
7.48000065	0.41505170
7.48800065	0.86062190
7.49600065	1.30619200
7.50400065	1.71514000
7.51200065	2.16071000
7.52000065	2.51472500
7.52800065	2.78328800
7.53600065	2.95419200
7.54400065	2.97250300
7.55200065	2.89315500
7.56000065	2.72225100
7.56800065	2.45979200
7.57600065	2.15460700
7.58400065	1.81890300
7.59200065	1.45268100
7.60000065	1.14749600
7.60800065	0.84841450
7.61600065	0.59205910
7.62400065	0.43946650
7.63200065	0.28077030
7.64000065	0.17090370
7.64800065	0.16479990
7.65600065	0.17090370
7.66400064	0.24414810
7.67200064	0.45167390
7.68000064	0.68971830
7.68800064	0.97048860
7.69600064	1.29398500
7.70400064	1.61748100
7.71200064	1.93487300
7.72000064	2.18512500
7.72800064	2.38044400
7.73600064	2.51472500
7.74400064	2.56355500
7.75200064	2.53914000
7.76000064	2.41706600
7.76800064	2.20343600
7.77600064	1.91656200
7.78400064	1.58696200
7.79200064	1.23905100
7.80000064	0.89724420
7.80800064	0.62257760
7.81600064	0.38453320
7.82400064	0.23804440
7.83200064	0.23194070
7.84000064	0.28687400
7.84800064	0.40894800
7.85600064	0.61037020
7.86400064	0.80568860
7.87200064	1.02542200
7.88000064	1.25125900
7.88800064	1.47709600
7.89600064	1.66631100
7.90400064	1.84331800
7.91200064	1.97149600
7.92000064	2.11188100
7.92800064	2.19122900
7.93600064	2.21564400
7.94400064	2.25226600
7.95200064	2.19122900
7.96000064	2.09967300
7.96800064	1.97149600
7.97600064	1.78228100
7.98400064	1.55644400
7.99200064	1.30619200
8.00000064	1.06204400
8.00800064	0.81789610
8.01600063	0.62868130
8.02400063	0.48219240
8.03200063	0.42725910
8.04000063	0.42725910
8.04800063	0.50050350
8.05600063	0.65919980
8.06400063	0.84231080
8.07200063	1.06204400
8.08000063	1.34281400
8.08800063	1.56254800
8.09600063	1.77007400
8.10400063	1.97149600
8.11200063	2.06915500
8.12000063	2.17291800
8.12800063	2.22174700
8.13600063	2.20954000
8.14400063	2.17291800
8.15200063	2.08136200
8.16000063	1.97759900
8.16800063	1.86773300
8.17600063	1.72124400
8.18400063	1.59306600
8.19200063	1.46488800
8.20000063	1.29398500
8.20800063	1.19022200
8.21600063	1.07425200
8.22400063	0.94607380
8.23200063	0.89114050
8.24000063	0.82399980
8.24800063	0.81179230
8.25600063	0.86062190
8.26400063	0.96438490
8.27200063	1.11087400
8.28000063	1.29398500
8.28800063	1.50151100
8.29600063	1.72734800
8.30400063	1.92266600
8.31200063	2.05084400
8.32000063	2.17902200
8.32800063	2.20343600
8.33600063	2.14239900
8.34400063	2.08136200
8.35200063	1.91656200
8.36000063	1.73345100
8.36800062	1.56865100
8.37600062	1.36722900
8.38400062	1.19632600
8.39200062	1.03762900
8.40000062	0.90334780
8.40800062	0.81789610
8.41600062	0.76296280
8.42400062	0.77517010
8.43200062	0.82399980
8.44000062	0.90334780
8.44800062	1.00100700
8.45600062	1.14139200
8.46400062	1.26957000
8.47200062	1.40995500
8.48000062	1.57475500
8.48800062	1.66020700
8.49600062	1.77007400
8.50400062	1.86773300
8.51200062	1.88604400
8.52000062	1.90435500
8.52800062	1.84942200
8.53600062	1.78838500
8.54400062	1.70293300
8.55200062	1.56865100
8.56000062	1.45268100
8.56800062	1.31229600
8.57600062	1.19022200
8.58400062	1.11697700
8.59200062	1.05594100
8.60000062	1.02542200
8.60800062	1.02542200
8.61600062	1.06814800
8.62400062	1.11087400
8.63200062	1.15970300
8.64000062	1.21463700
8.64800062	1.24515500
8.65600062	1.29398500
8.66400062	1.33671100
8.67200062	1.38554000
8.68000062	1.43437000
8.68800062	1.48320000
8.69600062	1.57475500
8.70400062	1.64800000
8.71200062	1.72124400
8.72000061	1.81890300
8.72800061	1.86162900
8.73600061	1.89825100
8.74400061	1.89214800
8.75200061	1.83111100
8.76000061	1.72734800
8.76800061	1.60527400
8.77600061	1.46488800
8.78400061	1.30619200
8.79200061	1.15360000
8.80000061	1.03762900
8.80800061	0.99490340
8.81600061	0.97659220
8.82400061	1.00711100
8.83200061	1.11087400
8.84000061	1.19022200
8.84800061	1.31840000
8.85600061	1.46488800
8.86400061	1.55644400
8.87200061	1.64189600
8.88000061	1.70903700
8.88800061	1.73955500
8.89600061	1.75786600
8.90400061	1.75176200
8.91200061	1.73955500
8.92000061	1.72124400
8.92800061	1.70903700
8.93600061	1.72734800
8.94400061	1.70903700
8.95200061	1.66631100
8.96000061	1.66631100
8.96800061	1.64800000
8.97600061	1.56254800
8.98400061	1.51982200
8.99200061	1.41605900
