%Time	Channel A
%(us)	(mV)
%
7.60800065	0.96133300
7.61600065	1.08340700
7.62400065	1.13528900
7.63200065	1.21463700
7.64000065	1.24820700
7.64800065	1.24820700
7.65600065	1.26041400
7.66400064	1.19327400
7.67200064	1.11392600
7.68000064	1.00405900
7.68800064	0.90945150
7.69600064	0.83620720
7.70400064	0.68971830
7.71200064	0.57374800
7.72000064	0.47608880
7.72800064	0.39063690
7.73600064	0.33570360
7.74400064	0.28382210
7.75200064	0.23194070
7.76000064	0.22583700
7.76800064	0.28077030
7.77600064	0.30518510
7.78400064	0.37842950
7.79200064	0.49134800
7.80000064	0.59511090
7.80800064	0.76906640
7.81600064	0.90945150
7.82400064	1.03762900
7.83200064	1.18106600
7.84000064	1.22074000
7.84800064	1.31534800
7.85600064	1.31534800
7.86400064	1.19327400
7.87200064	1.13528900
7.88000064	1.01016300
7.88800064	0.84536270
7.89600064	0.70192580
7.90400064	0.54322950
7.91200064	0.38453320
7.92000064	0.29602950
7.92800064	0.25940730
7.93600064	0.22583700
7.94400064	0.26245920
7.95200064	0.29908140
7.96000064	0.37537770
7.96800064	0.50660720
7.97600064	0.60731830
7.98400064	0.76906640
7.99200064	0.89114050
8.00000064	0.96438490
8.00800064	1.09256300
8.01600063	1.13834000
8.02400063	1.17801500
8.03200063	1.22684400
8.04000063	1.19937700
8.04800063	1.15970300
8.05600063	1.09256300
8.06400063	1.02542200
8.07200063	0.93386640
8.08000063	0.80568860
8.08800063	0.69582200
8.09600063	0.56764430
8.10400063	0.45777760
8.11200063	0.37842950
8.12000063	0.31128880
8.12800063	0.25940730
8.13600063	0.23804440
8.14400063	0.27771840
8.15200063	0.32349620
8.16000063	0.37842950
8.16800063	0.50050350
8.17600063	0.61342200
8.18400063	0.74159980
8.19200063	0.88198490
8.20000063	0.99185150
8.20800063	1.07425200
8.21600063	1.15360000
8.22400063	1.22684400
8.23200063	1.22989600
8.24000063	1.20853300
8.24800063	1.17496300
8.25600063	1.11697700
8.26400063	1.06204400
8.27200063	0.99185150
8.28000063	0.91250340
8.28800063	0.82399980
8.29600063	0.73854790
8.30400063	0.69582200
8.31200063	0.63173310
8.32000063	0.58900730
8.32800063	0.57374800
8.33600063	0.55848870
8.34400063	0.57374800
8.35200063	0.60426650
8.36000063	0.64699240
8.36800062	0.69277010
8.37600062	0.75685910
8.38400062	0.83925900
8.39200062	0.90945150
8.40000062	0.98879970
8.40800062	1.05899200
8.41600062	1.12308100
8.42400062	1.15054800
8.43200062	1.18106600
8.44000062	1.19937700
8.44800062	1.15665100
8.45600062	1.12308100
8.46400062	1.07120000
8.47200062	0.99185150
8.48000062	0.93997010
8.48800062	0.86977750
8.49600062	0.81789610
8.50400062	0.77517010
8.51200062	0.73244420
8.52000062	0.74465160
8.52800062	0.69887380
8.53600062	0.70192580
8.54400062	0.71413310
8.55200062	0.72023680
8.56000062	0.75991090
8.56800062	0.78737750
8.57600062	0.84841450
8.58400062	0.88198490
8.59200062	0.96438490
8.60000062	1.04068100
8.60800062	1.06509600
8.61600062	1.12613300
8.62400062	1.14749600
8.63200062	1.18717000
8.64000062	1.20242900
8.64800062	1.17801500
8.65600062	1.16275500
8.66400062	1.11087400
8.67200062	1.06509600
8.68000062	1.02847400
8.68800062	0.93386640
8.69600062	0.87588120
8.70400062	0.80568860
8.71200062	0.72939230
8.72000061	0.68056280
8.72800061	0.62562940
8.73600061	0.60121460
8.74400061	0.56459240
8.75200061	0.57679980
8.76000061	0.60426650
8.76800061	0.61342200
8.77600061	0.68971830
8.78400061	0.76296280
